name,type1,type2,hp,attack,defense,sp_attack,sp_defense,speed,generation,is_legendary
Simisage,grass,none,75,98,63,98,63,101,5,0
Pansear,fire,none,50,53,48,53,48,64,5,0
Simisear,fire,none,75,98,63,98,63,101,5,0
Panpour,water,none,50,53,48,53,48,64,5,0
Simipour,water,none,75,98,63,98,63,101,5,0
Munna,psychic,none,76,25,45,67,55,24,5,0
Musharna,psychic,none,116,55,85,107,95,29,5,0
Pidove,normal,flying,50,55,50,36,30,43,5,0
Tranquill,normal,flying,62,77,62,50,42,65,5,0
Unfezant,normal,flying,80,115,80,65,55,93,5,0
Blitzle,electric,none,45,60,32,50,32,76,5,0
Zebstrika,electric,none,75,100,63,80,63,116,5,0
Roggenrola,rock,none,55,75,85,25,25,15,5,0
Boldore,rock,none,70,105,105,50,40,20,5,0
Gigalith,rock,none,85,135,130,60,80,25,5,0
Woobat,psychic,flying,65,45,43,55,43,72,5,0
Swoobat,psychic,flying,67,57,55,77,55,114,5,0
Drilbur,ground,none,60,85,40,30,45,68,5,0
Excadrill,ground,steel,110,135,60,50,65,88,5,0
Audino,normal,none,103,60,126,80,126,50,5,0
Timburr,fighting,none,75,80,55,25,35,35,5,0
Gurdurr,fighting,none,85,105,85,40,50,40,5,0
Conkeldurr,fighting,none,105,140,95,55,65,45,5,0
Tympole,water,none,50,50,40,50,40,64,5,0
Palpitoad,water,ground,75,65,55,65,55,69,5,0
Seismitoad,water,ground,105,95,75,85,75,74,5,0
Throh,fighting,none,120,100,85,30,85,45,5,0
Sawk,fighting,none,75,125,75,30,75,85,5,0
Sewaddle,bug,grass,45,53,70,40,60,42,5,0
Swadloon,bug,grass,55,63,90,50,80,42,5,0
Leavanny,bug,grass,75,103,80,70,80,92,5,0
Venipede,bug,poison,30,45,59,30,39,57,5,0
Whirlipede,bug,poison,40,55,99,40,79,47,5,0
Scolipede,bug,poison,60,100,89,55,69,112,5,0
Cottonee,grass,fairy,40,27,60,37,50,66,5,0
Whimsicott,grass,fairy,60,67,85,77,75,116,5,0
Petilil,grass,none,45,35,50,70,50,30,5,0
Lilligant,grass,none,70,60,75,110,75,90,5,0
Basculin,water,none,70,92,65,80,55,98,5,0
Sandile,ground,dark,50,72,35,35,35,65,5,0
Krokorok,ground,dark,60,82,45,45,45,74,5,0
Krookodile,ground,dark,95,117,80,65,70,92,5,0
Darumaka,fire,none,70,90,45,15,45,50,5,0
Darmanitan,fire,fire,105,30,105,140,105,55,5,0
Maractus,grass,none,75,86,67,106,67,60,5,0
Dwebble,bug,rock,50,65,85,35,35,55,5,0
Crustle,bug,rock,70,105,125,65,75,45,5,0
Scraggy,dark,fighting,50,75,70,35,70,48,5,0
Scrafty,dark,fighting,65,90,115,45,115,58,5,0
Sigilyph,psychic,flying,72,58,80,103,80,97,5,0
Yamask,ghost,none,38,30,85,55,65,30,5,0
Cofagrigus,ghost,none,58,50,145,95,105,30,5,0
Tirtouga,water,rock,54,78,103,53,45,22,5,0
Carracosta,water,rock,74,108,133,83,65,32,5,0
Archen,rock,flying,55,112,45,74,45,70,5,0
Archeops,rock,flying,75,140,65,112,65,110,5,0
Trubbish,poison,none,50,50,62,40,62,65,5,0
Garbodor,poison,none,80,95,82,60,82,75,5,0
Zorua,dark,none,40,65,40,80,40,65,5,0
Zoroark,dark,none,60,105,60,120,60,105,5,0
Minccino,normal,none,55,50,40,40,40,75,5,0
Cinccino,normal,none,75,95,60,65,60,115,5,0
Gothita,psychic,none,45,30,50,55,65,45,5,0
Gothorita,psychic,none,60,45,70,75,85,55,5,0
Gothitelle,psychic,none,70,55,95,95,110,65,5,0
Solosis,psychic,none,45,30,40,105,50,20,5,0
Duosion,psychic,none,65,40,50,125,60,30,5,0
Reuniclus,psychic,none,110,65,75,125,85,30,5,0
Ducklett,water,flying,62,44,50,44,50,55,5,0
Swanna,water,flying,75,87,63,87,63,98,5,0
Vanillite,ice,none,36,50,50,65,60,44,5,0
Vanillish,ice,none,51,65,65,80,75,59,5,0
Vanilluxe,ice,none,71,95,85,110,95,79,5,0
Deerling,normal,grass,60,60,50,40,50,75,5,0
Sawsbuck,normal,grass,80,100,70,60,70,95,5,0
Emolga,electric,flying,55,75,60,75,60,103,5,0
Karrablast,bug,none,50,75,45,40,45,60,5,0
Escavalier,bug,steel,70,135,105,60,105,20,5,0
Foongus,grass,poison,69,55,45,55,55,15,5,0
Amoonguss,grass,poison,114,85,70,85,80,30,5,0
Frillish,water,ghost,55,40,50,65,85,40,5,0
Jellicent,water,ghost,100,60,70,85,105,60,5,0
Alomomola,water,none,165,75,80,40,45,65,5,0
Joltik,bug,electric,50,47,50,57,50,65,5,0
Galvantula,bug,electric,70,77,60,97,60,108,5,0
Ferroseed,grass,steel,44,50,91,24,86,10,5,0
Ferrothorn,grass,steel,74,94,131,54,116,20,5,0
Klink,steel,none,40,55,70,45,60,30,5,0
Klang,steel,none,60,80,95,70,85,50,5,0
Klinklang,steel,none,60,100,115,70,85,90,5,0
Tynamo,electric,none,35,55,40,45,40,60,5,0
Eelektrik,electric,none,65,85,70,75,70,40,5,0
Eelektross,electric,none,85,115,80,105,80,50,5,0
Elgyem,psychic,none,55,55,55,85,55,30,5,0
Beheeyem,psychic,none,75,75,75,125,95,40,5,0
Litwick,ghost,fire,50,30,55,65,55,20,5,0
Lampent,ghost,fire,60,40,60,95,60,55,5,0
Chandelure,ghost,fire,60,55,90,145,90,80,5,0
Axew,dragon,none,46,87,60,30,40,57,5,0
Fraxure,dragon,none,66,117,70,40,50,67,5,0
Haxorus,dragon,none,76,147,90,60,70,97,5,0
Cubchoo,ice,none,55,70,40,60,40,40,5,0
Beartic,ice,none,95,130,80,70,80,50,5,0
Cryogonal,ice,none,80,50,50,95,135,105,5,0
Shelmet,bug,none,50,40,85,40,65,25,5,0
Accelgor,bug,none,80,70,40,100,60,145,5,0
Stunfisk,ground,electric,109,66,84,81,99,32,5,0
Mienfoo,fighting,none,45,85,50,55,50,65,5,0
Mienshao,fighting,none,65,125,60,95,60,105,5,0
Druddigon,dragon,none,77,120,90,60,90,48,5,0
Golett,ground,ghost,59,74,50,35,50,35,5,0
Golurk,ground,ghost,89,124,80,55,80,55,5,0
Pawniard,dark,steel,45,85,70,40,40,60,5,0
Bisharp,dark,steel,65,125,100,60,70,70,5,0
Bouffalant,normal,none,95,110,95,40,95,55,5,0
Rufflet,normal,flying,70,83,50,37,50,60,5,0
Braviary,normal,flying,100,123,75,57,75,80,5,0
Vullaby,dark,flying,70,55,75,45,65,60,5,0
Mandibuzz,dark,flying,110,65,105,55,95,80,5,0
Heatmor,fire,none,85,97,66,105,66,65,5,0
Durant,bug,steel,58,109,112,48,48,109,5,0
Deino,dark,dragon,52,65,50,45,50,38,5,0
Zweilous,dark,dragon,72,85,70,65,70,58,5,0
Hydreigon,dark,dragon,92,105,90,125,90,98,5,0
Larvesta,bug,fire,55,85,55,50,55,60,5,0
Volcarona,bug,fire,85,60,65,135,105,100,5,0
Cobalion,steel,fighting,91,90,129,90,72,108,5,1
Terrakion,rock,fighting,91,129,90,72,90,108,5,1
Virizion,grass,fighting,91,90,72,90,129,108,5,1
Tornadus,flying,none,79,100,80,110,90,121,5,1
Thundurus,electric,flying,79,105,70,145,80,101,5,1
Reshiram,dragon,fire,100,120,100,150,120,90,5,1
Zekrom,dragon,electric,100,150,120,120,100,90,5,1
Landorus,ground,flying,89,145,90,105,80,91,5,1
Kyurem,dragon,ice,125,120,90,170,100,95,5,1
Keldeo,water,fighting,91,72,90,129,90,108,5,1
Meloetta,normal,psychic,100,128,90,77,77,128,5,1
Genesect,bug,steel,71,120,95,120,95,99,5,1
Chespin,grass,none,56,61,65,48,45,38,6,0
Quilladin,grass,none,61,78,95,56,58,57,6,0
Chesnaught,grass,fighting,88,107,122,74,75,64,6,0
Fennekin,fire,none,40,45,40,62,60,60,6,0
Braixen,fire,none,59,59,58,90,70,73,6,0
Delphox,fire,psychic,75,69,72,114,100,104,6,0
Froakie,water,none,41,56,40,62,44,71,6,0
Frogadier,water,none,54,63,52,83,56,97,6,0
Greninja,water,dark,72,145,67,153,71,132,6,0
Bunnelby,normal,none,38,36,38,32,36,57,6,0
Diggersby,normal,ground,85,56,77,50,77,78,6,0
Fletchling,normal,flying,45,50,43,40,38,62,6,0
Fletchinder,fire,flying,62,73,55,56,52,84,6,0
Talonflame,fire,flying,78,81,71,74,69,126,6,0
Scatterbug,bug,none,38,35,40,27,25,35,6,0
Spewpa,bug,none,45,22,60,27,30,29,6,0
Vivillon,bug,flying,80,52,50,90,50,89,6,0
Litleo,fire,normal,62,50,58,73,54,72,6,0
Pyroar,fire,normal,86,68,72,109,66,106,6,0
Flabébé,fairy,none,44,38,39,61,79,42,6,0
Floette,fairy,none,74,65,67,125,128,92,6,0
Florges,fairy,none,78,65,68,112,154,75,6,0
Skiddo,grass,none,66,65,48,62,57,52,6,0
Gogoat,grass,none,123,100,62,97,81,68,6,0
Pancham,fighting,none,67,82,62,46,48,43,6,0
Pangoro,fighting,dark,95,124,78,69,71,58,6,0
Furfrou,normal,none,75,80,60,65,90,102,6,0
Espurr,psychic,none,62,48,54,63,60,68,6,0
Meowstic,psychic,none,74,48,76,83,81,104,6,0
Honedge,steel,ghost,45,80,100,35,37,28,6,0
Doublade,steel,ghost,59,110,150,45,49,35,6,0
Aegislash,steel,ghost,60,150,50,150,50,60,6,0
Spritzee,fairy,none,78,52,60,63,65,23,6,0
Aromatisse,fairy,none,101,72,72,99,89,29,6,0
Swirlix,fairy,none,62,48,66,59,57,49,6,0
Slurpuff,fairy,none,82,80,86,85,75,72,6,0
Inkay,dark,psychic,53,54,53,37,46,45,6,0
Malamar,dark,psychic,86,92,88,68,75,73,6,0
Binacle,rock,water,42,52,67,39,56,50,6,0
Barbaracle,rock,water,72,105,115,54,86,68,6,0
Skrelp,poison,water,50,60,60,60,60,30,6,0
Dragalge,poison,dragon,65,75,90,97,123,44,6,0
Clauncher,water,none,50,53,62,58,63,44,6,0
Clawitzer,water,none,71,73,88,120,89,59,6,0
Helioptile,electric,normal,44,38,33,61,43,70,6,0
Heliolisk,electric,normal,62,55,52,109,94,109,6,0
Tyrunt,rock,dragon,58,89,77,45,45,48,6,0
Tyrantrum,rock,dragon,82,121,119,69,59,71,6,0
Amaura,rock,ice,77,59,50,67,63,46,6,0
Aurorus,rock,ice,123,77,72,99,92,58,6,0
Sylveon,fairy,none,95,65,65,110,130,60,6,0
Hawlucha,fighting,flying,78,92,75,74,63,118,6,0
Dedenne,electric,fairy,67,58,57,81,67,101,6,0
Carbink,rock,fairy,50,50,150,50,150,50,6,0
Goomy,dragon,none,45,50,35,55,75,40,6,0
Sliggoo,dragon,none,68,75,53,83,113,60,6,0
Goodra,dragon,none,90,100,70,110,150,80,6,0
Klefki,steel,fairy,57,80,91,80,87,75,6,0
Phantump,ghost,grass,43,70,48,50,60,38,6,0
Trevenant,ghost,grass,85,110,76,65,82,56,6,0
Pumpkaboo,ghost,grass,59,66,70,44,55,41,6,0
Gourgeist,ghost,grass,85,100,122,58,75,54,6,0
Bergmite,ice,none,55,69,85,32,35,28,6,0
Avalugg,ice,none,95,117,184,44,46,28,6,0
Noibat,flying,dragon,40,30,35,45,40,55,6,0
Noivern,flying,dragon,85,70,80,97,80,123,6,0
Xerneas,fairy,none,126,131,95,131,98,99,6,1
Yveltal,dark,flying,126,131,95,131,98,99,6,1
Zygarde,dragon,ground,216,100,121,91,95,85,6,1
Diancie,rock,fairy,50,160,110,160,110,110,6,1
Hoopa,psychic,ghost,80,160,60,170,130,80,6,1
Volcanion,fire,water,80,110,120,130,90,70,6,1
Rowlet,grass,flying,68,55,55,50,50,42,7,0
Dartrix,grass,flying,78,75,75,70,70,52,7,0
Decidueye,grass,ghost,78,107,75,100,100,70,7,0
Litten,fire,none,45,65,40,60,40,70,7,0
Torracat,fire,none,65,85,50,80,50,90,7,0
Incineroar,fire,dark,95,115,90,80,90,60,7,0
Popplio,water,none,50,54,54,66,56,40,7,0
Brionne,water,none,60,69,69,91,81,50,7,0
Primarina,water,fairy,80,74,74,126,116,60,7,0
Pikipek,normal,flying,35,75,30,30,30,65,7,0
Trumbeak,normal,flying,55,85,50,40,50,75,7,0
Toucannon,normal,flying,80,120,75,75,75,60,7,0
Yungoos,normal,none,48,70,30,30,30,45,7,0
Gumshoos,normal,none,88,110,60,55,60,45,7,0
Grubbin,bug,none,47,62,45,55,45,46,7,0
Charjabug,bug,electric,57,82,95,55,75,36,7,0
Vikavolt,bug,electric,77,70,90,145,75,43,7,0
Crabrawler,fighting,none,47,82,57,42,47,63,7,0
Crabominable,fighting,ice,97,132,77,62,67,43,7,0
Oricorio,fire,flying,75,70,70,98,70,93,7,0
Cutiefly,bug,fairy,40,45,40,55,40,84,7,0
Ribombee,bug,fairy,60,55,60,95,70,124,7,0
Rockruff,rock,none,45,65,40,30,40,60,7,0
Lycanroc,rock,none,85,115,75,55,75,82,7,0
Wishiwashi,water,none,45,140,130,140,135,30,7,0
Mareanie,poison,water,50,53,62,43,52,45,7,0
Toxapex,poison,water,50,63,152,53,142,35,7,0
Mudbray,ground,none,70,100,70,45,55,45,7,0
Mudsdale,ground,none,100,125,100,55,85,35,7,0
Dewpider,water,bug,38,40,52,40,72,27,7,0
Araquanid,water,bug,68,70,92,50,132,42,7,0
Fomantis,grass,none,40,55,35,50,35,35,7,0
Lurantis,grass,none,70,105,90,80,90,45,7,0
Morelull,grass,fairy,40,35,55,65,75,15,7,0
Shiinotic,grass,fairy,60,45,80,90,100,30,7,0
Salandit,poison,fire,48,44,40,71,40,77,7,0
Salazzle,poison,fire,68,64,60,111,60,117,7,0
Stufful,normal,fighting,70,75,50,45,50,50,7,0
Bewear,normal,fighting,120,125,80,55,60,60,7,0
Bounsweet,grass,none,42,30,38,30,38,32,7,0
Steenee,grass,none,52,40,48,40,48,62,7,0
Tsareena,grass,none,72,120,98,50,98,72,7,0
Comfey,fairy,none,51,52,90,82,110,100,7,0
Oranguru,normal,psychic,90,60,80,90,110,60,7,0
Passimian,fighting,none,100,120,90,40,60,80,7,0
Wimpod,bug,water,25,35,40,20,30,80,7,0
Golisopod,bug,water,75,125,140,60,90,40,7,0
Sandygast,ghost,ground,55,55,80,70,45,15,7,0
Palossand,ghost,ground,85,75,110,100,75,35,7,0
Pyukumuku,water,none,55,60,130,30,130,5,7,0
Type: Null,normal,none,95,95,95,95,95,59,7,0
Silvally,normal,none,95,95,95,95,95,95,7,0
Minior,rock,flying,60,100,60,100,60,120,7,0
Komala,normal,none,65,115,65,75,95,65,7,0
Turtonator,fire,dragon,60,78,135,91,85,36,7,0
Togedemaru,electric,steel,65,98,63,40,73,96,7,0
Mimikyu,ghost,fairy,55,90,80,50,105,96,7,0
Bruxish,water,psychic,68,105,70,70,70,92,7,0
Drampa,normal,dragon,78,60,85,135,91,36,7,0
Dhelmise,ghost,grass,70,131,100,86,90,40,7,0
Jangmo-o,dragon,none,45,55,65,45,45,45,7,0
Hakamo-o,dragon,fighting,55,75,90,65,70,65,7,0
Kommo-o,dragon,fighting,75,110,125,100,105,85,7,0
Tapu Koko,electric,fairy,70,115,85,95,75,130,7,1
Tapu Lele,psychic,fairy,70,85,75,130,115,95,7,1
Tapu Bulu,grass,fairy,70,130,115,85,95,75,7,1
Tapu Fini,water,fairy,70,75,115,95,130,85,7,1
Cosmog,psychic,none,43,29,31,29,31,37,7,1
Cosmoem,psychic,none,43,29,131,29,131,37,7,1
Solgaleo,psychic,steel,137,137,107,113,89,97,7,1
Lunala,psychic,ghost,137,113,89,137,107,97,7,1
Nihilego,rock,poison,109,53,47,127,131,103,7,1
Buzzwole,bug,fighting,107,139,139,53,53,79,7,1
Pheromosa,bug,fighting,71,137,37,137,37,151,7,1
Xurkitree,electric,none,83,89,71,173,71,83,7,1
Celesteela,steel,flying,97,101,103,107,101,61,7,1
Kartana,grass,steel,59,181,131,59,31,109,7,1
Guzzlord,dark,dragon,223,101,53,97,53,43,7,1
Necrozma,psychic,none,97,107,101,127,89,79,7,1
Magearna,steel,fairy,80,95,115,130,115,65,7,1
